tick,angle,x,y,vx,vy,horizontal_bps,vertical_bps
41,-90.0,79.73722059043968,-65.87042648473897,2.2703700319948084,-1.4622408831321472,45.40740063989617,-29.244817662642944
42,-90.0,81.98488694376647,-67.38182257962438,2.247666353326796,-1.5113960948854146,44.95332706653592,-30.227921897708292
43,0.0,84.34652404836412,-68.73251396160147,2.361637104597643,-1.3506913819770918,47.23274209195286,-27.013827639541837
44,-90.0,86.6845448044381,-70.13459154322729,2.338020756073993,-1.4020775816258226,46.76041512147986,-28.04155163251645
45,-90.0,88.99918537524846,-71.58702760148898,2.3146405708103566,-1.4524360582616926,46.29281141620713,-29.048721165233854
46,-90.0,91.29067956242484,-73.08881496781434,2.2914941871763856,-1.5017873663253571,45.829883743527716,-30.035747326507142
47,0.0,93.69485008522861,-74.43103145103652,2.404170522803763,-1.3422164832221763,48.08341045607526,-26.844329664443528
48,-90.0,96.0749789257323,-75.82480363172088,2.3801288405036822,-1.3937721806843595,47.60257681007364,-27.87544361368719
49,-90.0,98.43130650052962,-77.26910039690154,2.356327574797323,-1.444296765180646,47.12655149594646,-28.885935303612918
50,-90.0,100.76407082205066,-78.76291125585222,2.3327643215210405,-1.4938108589506867,46.65528643042081,-29.876217179013732
51,0.0,103.20838807143528,-80.098092459433,2.4443172493846244,-1.3351812035807913,48.88634498769249,-26.703624071615828
52,-90.0,105.62826217163689,-81.48497006593462,2.419874100201604,-1.3868776065016148,48.39748200403208,-27.7375521300323
53,-90.0,108.0239375539142,-82.92251014828467,2.3956753822773056,-1.4375400823500526,47.91350764554611,-28.75080164700105
54,-90.0,110.39565620521567,-84.4096994579325,2.371718651301473,-1.4871893096478317,47.43437302602946,-29.743786192956634
55,0.0,112.87794826140586,-85.73904045491452,2.482292056190183,-1.3293409969820067,49.645841123803656,-26.586819939640133
56,-90.0,115.33541742070713,-87.12019465883793,2.457469159301263,-1.3811542039234128,49.14938318602526,-27.623084078468256
57,-90.0,117.76831191185164,-88.55212580655218,2.4328944911445025,-1.4319311477142493,48.65788982289005,-28.638622954284987
