tick,angle,x,y,vx,vy
0,0,0.22460395104959227,0.12887628495871717,0.22460395104959227,0.12887628495871717
1,0,0.44696186473067878,0.23557504629491033,0.22235791368108654,0.10669876133619316
2,-89.989999999999995,0.66709620139552483,0.26173983507552617,0.220134336664846,0.026164788780615865
3,-89.989999999999995,0.88502919696944859,0.20898132940959063,0.21793299557392376,-0.052758505665935554
4,-73.691401690000006,1.1016824402614878,0.084504413070778966,0.21665324329203925,-0.12447691633881167
5,-50.720935740000002,1.3226132929400429,-0.085224754903491767,0.22093085267855525,-0.16972916797427073
6,-38.750743759999999,1.5528909330787264,-0.28148438963399552,0.23027764013868354,-0.19625963473050376
7,-31.56097072,1.7959198511946528,-0.49296702085250077,0.24302891811592639,-0.21148263121850522
8,-27.518512950000002,2.0536390445442132,-0.7135389868700095,0.25771919334956028,-0.22057196601750867
9,-25.497874920000001,2.3270519721857275,-0.94009656713702605,0.27341292764151437,-0.22655758026701661
10,-24.616716149999998,2.6166544169465347,-1.1711101031754347,0.28960244476080704,-0.23101353603840863
11,-24.36417823,2.9226753710854783,-1.4058649014859221,0.30602095413894359,-0.23475479831048737
12,-24.411610929999998,3.245216213046108,-1.6440279659790866,0.32254084196062949,-0.23816306449316452
13,-24.584040999999999,3.5843184433765778,-1.8854399065057079,0.3391022303304696,-0.24141194052662138
14,-24.825469734479956,3.9399923646829609,-2.1300306028198128,0.35567392130638315,-0.24459069631410477
15,-25.10108344,4.3122317200750526,-2.3777767674148738,0.37223935539209196,-0.24774616459506088
16,-25.38846989,4.7010227544873819,-2.6286743632018355,0.38879103441232898,-0.25089759578696169
17,-25.674564369999999,5.1063485878639252,-2.8827248587530647,0.40532583337654299,-0.25405049555122927
18,-25.952752909335366,5.5281912119166252,-3.1399285158280161,0.42184262405269984,-0.25720365707495119
19,-26.245360340000001,5.9665266123932623,-3.4003030738912456,0.43833540047663744,-0.26037455806322934
20,-26.524988960000002,6.4213325056790964,-3.6638571110206652,0.45480589328583421,-0.26355403712941944
21,-26.792089619999999,6.892587851437022,-3.9305905303512385,0.47125534575792594,-0.26673341933057321
22,-27.06714341,7.3802671967222784,-4.2005144340378786,0.48767934528525669,-0.26992390368663982
23,-27.339884090000002,7.8843431616452309,-4.4736436752034656,0.50407596492295281,-0.27312924116558673
24,-27.609065330918931,8.4047885010498842,-4.7499899032150683,0.52044533940465298,-0.27634622801160225
25,-27.873593823614065,8.9415759660348737,-5.0295616524173345,0.53678746498498875,-0.27957174920226585
26,-28.140457470000001,9.4946762757538128,-5.3123712299975034,0.55310030971893942,-0.2828095775801685
27,-28.389793610000002,10.06406223632921,-5.5984206697010599,0.56938596057539759,-0.28604943970355673
28,-28.647333759999999,10.649702310423521,-5.8877230411565371,0.58564007409431162,-0.28930237145547721
29,-28.907876389999998,11.251563292419752,-6.1802946206397307,0.60186098199623039,-0.29257157948319379
30,-29.150171448887733,11.869616642602518,-6.4761334738660965,0.61805335018276553,-0.29583885322636572
31,-29.399970440000001,12.503827118588548,-6.7752561333922685,0.63421047598603097,-0.29912265952617245
32,-29.645687640882546,13.154162319534596,-7.0776675573392529,0.65033520094604769,-0.30241142394698456
33,-29.886979649292755,13.820587770659369,-7.3833763110871287,0.66642545112477325,-0.30570875374787559
34,-30.124527771329159,14.503067167799168,-7.6923942349381385,0.68247939713979933,-0.30901792385100962
35,-30.369700630000001,15.201562596196217,-8.0047361370683117,0.69849542839704959,-0.31234190213017365
36,-30.593646916852872,15.91604153141936,-8.3203972230469461,0.71447893522314232,-0.31566108597863418
37,-30.836709110000001,16.646461963001315,-8.6393993430092486,0.73042043158195646,-0.31900211996230282
38,-31.068355270000001,17.392785618586529,-8.961751288484157,0.74632365558521507,-0.32235194547490825
39,-31.287543146659285,18.154977278204289,-9.2874496229789525,0.76219165961775992,-0.3256983344947959
40,-31.51684758,18.932994469026752,-9.616510183640985,0.77801719082246401,-0.32906056066203204
41,-31.744347510000001,19.726795929116655,-9.948943452023169,0.79380146008990393,-0.33243326838218468
42,-31.95859038,20.536343848981598,-10.284747040946273,0.80954791986494312,-0.33580358892310502
43,-32.178312239622073,21.361595612994293,-10.623930109906972,0.82525176401269573,-0.33918306896069961
44,-32.406636560000003,22.202501875170231,-10.966520462431903,0.84090626217593745,-0.34259035252493075
45,-32.613229078368484,23.059023264403692,-11.31251525231027,0.85652138923346199,-0.34599478987836629
46,-32.827557890000001,23.93111551034961,-11.661923298253987,0.87209224594591772,-0.34940804594371727
47,-33.039016764386773,24.818735487340049,-12.014748001947853,0.88761997699044115,-0.35282470369386659
48,-33.24765116256323,25.721838240862137,-12.370995810251555,0.90310275352208713,-0.35624780830370245
49,-33.454138360000002,26.640377180801604,-12.730675961865225,0.918538939939468,-0.35968015161366951
50,-33.659249506622174,27.574307072908134,-13.093791940628801,0.93392989210652977,-0.36311597876357588
51,-33.873660530000002,28.523575228598361,-13.460366858581045,0.9492681556902276,-0.36657491795224456
52,-34.067408992710156,29.488139863585381,-13.830391644992796,0.96456463498702061,-0.37002478641175013
53,-34.279878369999999,30.467945058634417,-14.203894897617769,0.97980519504903674,-0.37350325262497375
54,-34.470357717164262,31.462946441767944,-14.58087211339098,0.99500138313352748,-0.37697721577321042
55,-34.678122530000003,32.473091493355618,-14.961339351302648,1.0101450515876751,-0.3804672379116687
56,-34.863077322668197,33.498335840326988,-15.345288622708862,1.0252443469713732,-0.38394927140621349
57,-35.055780017777842,34.53862974503155,-15.73272422100419,1.0402939047045601,-0.38743559829532837
58,-35.250050129999998,35.593918778356567,-16.123661822669394,1.0552890333250164,-0.3909376016652033
59,-35.437631820057227,36.664153885466959,-16.518101300408969,1.070235107110391,-0.39443947773957355
60,-35.644720640000003,37.74927464149841,-16.916071994545771,1.0851207560314522,-0.39797069413680108
61,-35.817107401957756,38.849236619008835,-17.317559452698053,1.0999619775104228,-0.4014874581522811
62,-36.005123336457196,39.96398631528853,-17.722571046464676,1.1147496962796957,-0.40501159376662205
63,-36.191295705444901,41.093468907331236,-18.131116429687527,1.1294825920427047,-0.4085453832228495
64,-36.38545225,42.237625039685824,-18.543216413117744,1.1441561323545872,-0.41209998343021537
65,-36.554626329999998,43.396408329152315,-18.958856596890616,1.158783289466488,-0.41564018377287149
66,-36.72819046,44.569766531666644,-19.378035524322552,1.1733582025143274,-0.41917892743193663
67,-36.924160809999997,45.757635295686519,-19.800782219315238,1.1878687640198735,-0.42274669499268397
68,-37.104552959999999,46.959957189985019,-20.227107738799884,1.2023218942985001,-0.42632551948464709
69,-37.2703550316809,48.176684370253227,-20.656997024039306,1.2167271802682056,-0.42988928523942116
70,-37.44768028,49.407755861205672,-21.090466874301381,1.2310714909524485,-0.43346985026207546
71,-37.627969380000003,50.653113612401235,-21.527526065054577,1.245357751195562,-0.4370591907531956
72,-37.79054699714527,51.912705787585907,-21.968166355903374,1.2595921751846741,-0.44064029084879863
73,-37.965625719999998,53.186471192673885,-22.412401714127569,1.2737654050879756,-0.4442353582241928
74,-38.133885450000001,54.47435157453949,-22.860238057937906,1.2878803818656075,-0.44783634381033749
75,-38.313958159999999,55.776283706019491,-23.311693032558768,1.3019321314799988,-0.45145497462086165
76,-38.489398479999998,57.092203769058159,-23.766785531499963,1.3159200630386649,-0.45509249894119452
77,-38.618800120000003,58.42207820387079,-24.225457748800871,1.3298744348126321,-0.45867221730090785
78,-38.805743249999999,59.765830196636692,-24.687756167672458,1.3437519927659034,-0.46229841887158579
79,-38.964529086674645,61.123403503563893,-25.153677256272168,1.3575733069272011,-0.46592108859970999
80,-39.124973316588544,62.494740278296099,-25.623220130919318,1.3713367747322085,-0.46954287464714972
81,-39.302514930000001,63.879769242169218,-26.096416092107351,1.3850289638731192,-0.47319596118803436
82,-39.4468757,65.27843948147509,-26.57324676042623,1.3986702393058736,-0.47683066831887927
83,-39.608040923989662,66.690689637583375,-27.053717398013564,1.4122501561082896,-0.4804706375873356
84,-39.759813020000003,68.116461380485603,-27.537825132708949,1.425771742902233,-0.48410773469538476
85,-39.939242819999997,69.555678307537264,-28.025610026051183,1.4392169270516604,-0.48778489334223235
86,-40.07592483437984,71.008293988910722,-28.517040515976785,1.4526156813734519,-0.49143048992560268
87,-40.240293889999997,72.474238002847613,-29.012140482624147,1.4659440139368891,-0.49509996664736133
88,-40.376379159999999,73.953461121336019,-29.510883136338901,1.4792231184884108,-0.4987426537147544
89,-40.542361631184221,75.445890052967883,-30.013297175144054,1.4924289316318622,-0.50241403880515267
90,-40.703914920000003,76.951455994571845,-30.519401174320041,1.5055659416039606,-0.50610399917598869
91,-40.837857560000003,78.470107285773352,-31.02917306467295,1.51865129120151,-0.50977189035290771
