tick,pitchDeg_internal,angleDeg_pass_to_stepElytra2D,vx_after,vy_after,x_after,relative_y_after
0,0.0,-0.0,0.22457256843635925,0.12904952982190956,0.22457256843635925,0.12904952982190956
1,0.0,-0.0,0.22232684489368656,0.10686854130542608,0.4468994133300458,0.23591807112733565
2,90.0,-90.0,0.22010357856502372,0.026331170991794318,0.6670029918950695,0.26224924211913
3,90.0,-90.0,0.21790254487844476,-0.05259545345169325,0.8849055367735142,0.20965378866743672
4,73.76140168894366,-73.76140168894366,0.21661467551794775,-0.12436537091736002,1.101520212291462,0.0852884177500767
5,50.750935739985124,-50.750935739985124,0.2208809322787085,-0.16966550550157392,1.3224011445701704,-0.08437708775149722
6,38.76074376277253,-38.76074376277253,0.23022155921543924,-0.19621655826387485,1.5526227037856097,-0.28059364601537207
7,31.5709707201807,-31.5709707201807,0.24296726926396878,-0.2114588201943352,1.7955899730495786,-0.4920524662097073
8,27.528512954922835,-27.528512954922835,0.257653162102036,-0.22056528042402562,2.0532431351516145,-0.7126177466337329
9,25.497874916349748,-25.497874916349748,0.2733460661260783,-0.22655593904930926,2.326589201277693,-0.9391736856830422
10,24.626716152758323,-24.626716152758323,0.2895332365803967,-0.23102445467436955,2.6161224378580896,-1.1701981403574118
11,24.36417822722933,-24.36417822722933,0.3059527519540158,-0.2347666932244771,2.9220751898121056,-1.404964833581889
12,24.40161093309391,-24.40161093309391,0.322475338968711,-0.2381690130075919,3.2445505287808167,-1.643133846589481
13,24.58104100234251,-24.58104100234251,0.3390380445828246,-0.24141636674372105,3.5835885733636412,-1.884550213333202
14,24.825469734479956,-24.825469734479956,0.355610210677926,-0.24459667504236426,3.939198784041567,-2.1291468883755664
15,25.098083439694257,-25.098083439694257,0.37217676737464545,-0.24775134781637684,4.311375551416212,-2.376898236191943
16,25.381469885352217,-25.381469885352217,0.3887301262746708,-0.25089957176096206,4.700105677690883,-2.627797807952905
17,25.667564367824244,-25.667564367824244,0.40526624097988123,-0.25405006119255513,5.105371918670764,-2.88184786914546
18,25.952752909335366,-25.952752909335366,0.4217827122320326,-0.257206699550318,5.527154630902797,-3.1390545686957783
19,26.23536034067847,-26.23536034067847,0.43827793445916535,-0.26037104266456684,5.965432565361962,-3.399425611360345
20,26.51498895543509,-26.51498895543509,0.4547505744852239,-0.26354393685356525,6.420183139847186,-3.66296954821391
21,26.792089615910246,-26.792089615910246,0.47119926474736784,-0.26672656039072196,6.8913824045945535,-3.9296961086046323
22,27.06714341047307,-27.06714341047307,0.48762260516857536,-0.2699204525732096,7.379005009763129,-4.199616561177842
23,27.339884086327817,-27.339884086327817,0.5040194171187161,-0.27312661409804734,7.883024426881845,-4.472743175275889
24,27.60906533091893,-27.60906533091893,0.5203890336208129,-0.27634436523524974,8.403413460502659,-4.749087540511139
25,27.873593823614065,-27.873593823614065,0.5367311592504073,-0.2795716319791693,8.940144619753067,-5.0286591724903085
26,28.133457465143323,-28.133457465143323,0.5530454293422454,-0.2828063568540733,9.493190049095313,-5.311465529344382
27,28.389793611699922,-28.389793611699922,0.5693310122586693,-0.2860479265696592,10.062521061353982,-5.597513455914041
28,28.644333761072794,-28.644333761072794,0.5855864729681601,-0.2892978368492193,10.648107534322142,-5.8868112927632605
29,28.897876389851376,-28.897876389851376,0.6018102176342596,-0.29255839328272365,11.249917751956401,-6.179369686045984
30,29.150171448887733,-29.150171448887733,0.6180009167079877,-0.2958313320768704,11.86791866866439,-6.4752010181228545
31,29.39997043708129,-29.39997043708129,0.6341578463634805,-0.2991165721963291,12.50207651502787,-6.774317590319184
32,29.645687640882546,-29.645687640882546,0.6502809232138586,-0.3024118870118967,13.152357438241728,-7.076729477331081
33,29.886979649292755,-29.886979649292755,0.6663701113088771,-0.30571466729980873,13.818727549550605,-7.382444144630889
34,30.12452777132916,-30.12452777132916,0.6824249998468324,-0.30902330241008513,14.501152549397437,-7.691467447040974
35,30.35970063358485,-30.35970063358485,0.6984445788884797,-0.31233804020193334,15.199597128285916,-8.003805487242907
36,30.593646916852872,-30.593646916852872,0.7144274236606727,-0.3156605801122563,15.91402455194659,-8.319466067355163
37,30.826709111609354,-30.826709111609354,0.7303721012538767,-0.3189928925746068,16.644396653200467,-8.63845895992977
38,31.058355271849216,-31.058355271849216,0.7462775508676395,-0.322336008067039,17.390674204068105,-8.960794967996808
39,31.287543146659285,-31.287543146659285,0.7621432534162127,-0.32568937256417935,18.152817457484318,-9.286484340560987
40,31.513847583229655,-31.513847583229655,0.777968879513624,-0.32905180988731686,18.93078633699794,-9.615536150448303
41,31.73734750634113,-31.73734750634113,0.793754034588481,-0.33242227022565257,19.72454037158642,-9.947958420673956
42,31.958590378232103,-31.958590378232103,0.8094980540239767,-0.3358004879519821,20.534038425610397,-10.283758908625938
43,32.17831223962207,-32.17831223962207,0.8251999551324094,-0.33918720494281657,21.359238380742806,-10.622946113568755
44,32.3966365614574,-32.3966365614574,0.840858771987913,-0.34258322765223326,22.20009715273072,-10.965529341220988
45,32.613229078368484,-32.613229078368484,0.8564737734465094,-0.34598876149247515,23.05657092617723,-11.311518102713462
46,32.827557885453025,-32.827557885453025,0.8720445273555051,-0.3494031610725334,23.928615453532736,-11.660921263785996
47,33.03901676438677,-33.03901676438677,0.8875708958651232,-0.3528248733971265,24.81618634939786,-12.013746137183123
48,33.24765116256323,-33.24765116256323,0.9030526698953012,-0.35625246170453384,25.719239019293163,-12.369998598887657
49,33.45413835539849,-33.45413835539849,0.918489259169078,-0.35968554303735195,26.63772827846224,-12.72968414192501
50,33.659249506622174,-33.659249506622174,0.933879696038613,-0.36312486489688983,27.571607974500854,-13.092809006821899
51,33.86366052512806,-33.86366052512806,0.9492227372020279,-0.3665720938259156,28.52083071170288,-13.459381100647814
52,34.067408992710156,-34.067408992710156,0.9645172385835498,-0.37002878761857555,29.48534795028643,-13.82940988826639
53,34.26987836673874,-34.26987836673874,0.9797624934319996,-0.37349540037053824,30.46511044371843,-14.202905288636929
54,34.47035771716426,-34.47035771716426,0.9949582279062398,-0.37697120792895705,31.46006867162467,-14.579876496565886
55,34.66812253017989,-34.66812253017989,1.0101045529860502,-0.38045435973369357,32.47017322461072,-14.96033085629958
56,34.8630773226682,-34.8630773226682,1.0252015661955995,-0.38394293431018367,33.495374790806316,-15.344273790609764
57,35.05578001777784,-35.05578001777784,1.0402489860521194,-0.3874359735534844,34.535623776858436,-15.731709764163249
58,35.24705013308262,-35.24705013308262,1.0552460512503803,-0.3909338377077188,35.590869828108815,-16.12264360187097
59,35.43763182005723,-35.43763182005723,1.070191625044053,-0.3944380044999754,36.66106145315287,-16.517081606370944
60,35.62772064166011,-35.62772064166011,1.0850845629276835,-0.3979501203594573,37.74614601608055,-16.9150317267304
61,35.817107401957756,-35.817107401957756,1.0999239540349157,-0.4014713392539286,38.846069970115465,-17.316503065984328
62,36.005123336457196,-36.005123336457196,1.1147093682313922,-0.40500160796798557,39.96077933834686,-17.721504673952314
63,36.1912957054449,-36.1912957054449,1.1294406807943556,-0.4085400642274104,41.09022001914121,-18.130044738179723
64,36.37545225446491,-36.37545225446491,1.1441178528862648,-0.41208558212348195,42.23433787202748,-18.542130320303205
65,36.557626330395365,-36.557626330395365,1.1587407946474604,-0.41563712815400283,43.39307866667494,-18.957767448457208
66,36.738190463968515,-36.738190463968515,1.173309159781991,-0.41919432042869953,44.56638782645693,-19.376961768885906
67,36.917160810003566,-36.917160810003566,1.1878226009504147,-0.4227567895439949,45.754210427407344,-19.799718558429902
68,37.09455296427228,-37.09455296427228,1.202280770948402,-0.4263241770499467,46.95649119835575,-20.226042735479847
69,37.2703550316809,-37.2703550316809,1.21668334114739,-0.4298960882894051,48.17317453950314,-20.65593882376925
70,37.44468028477741,-37.44468028477741,1.2310299185055098,-0.43347230854720337,49.40420445800865,-21.089411132316453
71,37.61796938356447,-37.61796938356447,1.245319837926028,-0.437053354567913,50.649524295934675,-21.526464486884365
72,37.79054699714527,-37.79054699714527,1.2595522709986617,-0.44064023113894424,51.90907656693334,-21.967104718023307
73,37.962625720023084,-37.962625720023084,1.273726320637582,-0.44423420968049004,53.182802887570915,-22.4113389277038
74,38.13388544732659,-38.13388544732659,1.287841391769058,-0.44783588630661625,54.47064427933997,-22.859174814010416
75,38.30395815923437,-38.30395815923437,1.3018971918911144,-0.45144514182778656,55.77254147123109,-23.310619955838202
76,38.4723984845626,-38.4723984845626,1.315893752387245,-0.45506105009910486,57.08843522361833,-23.765681005937306
77,38.638800121528064,-38.638800121528064,1.3298313666454582,-0.45868199566790896,58.41826659026379,-24.224363001605216
78,38.80274325017532,-38.80274325017532,1.3437105719622071,-0.46230568934113053,59.761977162225996,-24.686668690946345
79,38.964529086674645,-38.964529086674645,1.3575316089341836,-0.4659304956269846,61.11950877116018,-25.15259918657333
80,39.124973316588544,-39.124973316588544,1.3712940823604247,-0.46955631483609195,62.4908028535206,-25.62215550140942
81,39.285514930726634,-39.285514930726634,1.3849965749725655,-0.4731856154303414,63.87579942849317,-26.095341116839762
82,39.44687569821735,-39.44687569821735,1.3986372819429105,-0.4768219804754908,65.27443671043608,-26.572163097315254
83,39.60804092398966,-39.60804092398966,1.412215339724178,-0.48046688059946663,66.68665205016026,-27.05262997791472
84,39.766813023842616,-39.766813023842616,1.4257316154555848,-0.48411763940194,68.11238366561585,-27.53674761731666
85,39.92224282296813,-39.92224282296813,1.4391875879887466,-0.4877699803726685,69.55157125360459,-28.02451759768933
86,40.07592483437984,-40.07592483437984,1.4525833476625516,-0.49142282111263264,71.00415460126715,-28.51594041880196
87,40.230293886035106,-40.230293886035106,1.4659170904132814,-0.4950796382035614,72.47007169168043,-29.01102005700552
88,40.3863791595141,-40.3863791595141,1.4791863979238817,-0.4987455740640187,73.94925808960431,-29.509765631069538
89,40.54236163118422,-40.54236163118422,1.4923905274754774,-0.5024220076589908,75.44164861707979,-30.012187638728527
90,40.69391492392228,-40.69391492392228,1.5055322265301792,-0.506102064829832,76.94718084360997,-30.51828970355836
91,40.83785756414849,-40.83785756414849,1.5186164812248564,-0.509773270465807,78.46579732483482,-31.028062974024166
92,40.98030543094557,-40.98030543094557,1.5316428361212746,-0.5134355228623019,79.9974401609561,-31.54149849688647
93,41.13315920847624,-41.13315920847624,1.5446012381792307,-0.5171113784995907,81.54204139913533,-32.05860987538606
94,41.29200237108036,-41.29200237108036,1.5574862725474365,-0.5208134762066253,83.09952767168276,-32.57942335159269
95,41.433009226065906,-41.433009226065906,1.570312691715716,-0.5245078251072212,84.66984036339848,-33.10393117669991
96,41.5604057534075,-41.5604057534075,1.5830902404826677,-0.5281707276588873,86.25293060388114,-33.6321019043588
97,41.71430116646083,-41.71430116646083,1.5957941256886339,-0.531857704104794,87.84872472956977,-34.16395960846359
98,41.88272464910815,-41.88272464910815,1.608412128963959,-0.5355974400062775,89.45713685853373,-34.69955704846987
99,41.9862080428592,-41.9862080428592,1.6210007775220476,-0.5392614771161875,91.07813763605577,-35.238818525586055
100,42.14430003241394,-42.14430003241394,1.6335086419737999,-0.542964017831141,92.71164627802958,-35.781782543417194
101,42.24912847131585,-42.24912847131585,1.6459824084614207,-0.5465995052566934,94.357628686491,-36.32838204867389
102,42.72741174666051,-42.72741174666051,1.6580930213058813,-0.5509134628672927,96.01572170779689,-36.87929551154118
103,41.32498127889103,-41.32498127889103,1.6715147452892227,-0.5521345042484076,97.68723645308611,-37.43143001578959
104,46.76495492062478,-46.76495492062478,1.6800503177787243,-0.5641290307141907,99.36728677086484,-37.99555904650378
105,33.88374366483118,-33.88374366483118,1.7002641465668542,-0.5500109041474139,101.06755091743169,-38.54556995065119
106,68.42546507804656,-68.42546507804656,1.6907537480908519,-0.6012196481477429,102.75830466552254,-39.14678959879893
107,0.0,-0.0,1.7291968979173886,-0.5479157403302513,104.48750156343993,-39.694705339129186
108,78.33860725965853,-78.33860725965853,1.7141817764564564,-0.6104508756566885,106.20168333989639,-40.305156214785875
109,0.0,-0.0,1.7532131486017344,-0.5560576831516059,107.95489648849812,-40.86121389793748
110,77.53003581620688,-77.53003581620688,1.7383117679947107,-0.6177014904509506,109.69320825649284,-41.47891538838843
111,0.0,-0.0,1.7777478702391196,-0.56245272552461,111.47095612673196,-42.04136811391304
