tick,angle,x,y,vx,vy
1,-90,1.0690288699818479e-34,-0.078400001525878907,1.0690288699818479e-34,-0.078400001525878907
2,-88.720398956778908,7.0402862181754399e-06,-0.23359492544044591,7.0402862181754399e-06,-0.15519492391456699
3,-87.442444721400264,5.5790064446841214e-05,-0.46392271241199712,4.8749778228665772e-05,-0.23032778697155123
4,-86.167789417469322,0.00022758593410501749,-0.76764514677373341,0.00017179586965817629,-0.30372243436173629
5,-84.898098872308623,0.00066783555460867439,-1.1429307595586966,0.00044024962050365684,-0.3752856127849632
6,-83.6350555073181,0.0016016901683094473,-1.5878398871041115,0.00093385461370077284,-0.44490912754541495
7,-82.380345270981479,0.0033478825633300301,-2.1003119695139483,0.0017461923950205826,-0.51247208240983688
8,-81.135669913468462,0.0063275557799560254,-2.6781619862969488,0.0029796732166259957,-0.57785001678300063
9,-79.90273721066022,0.011075652203990927,-3.3190681864313714,0.0047480964240349003,-0.64090620013442245
10,-78.683249516010562,0.018243769438474229,-4.0205762299895937,0.0071681172344833033,-0.70150804355822249
11,-77.478899464074829,0.028602939163699652,-4.7801003372829349,0.010359169725225421,-0.75952410729334097
12,-76.291374372287095,0.043044012219660699,-5.5949270084745732,0.014441073055961049,-0.81482667119163865
13,-75.122318145976976,0.062575744176087397,-6.4622211728514092,0.019531731956426695,-0.86729416437683571
14,-73.973349506493378,0.088316446897771766,-7.379042275242929,0.025740702721684376,-0.91682110239151993
15,-72.846054635961309,0.12148647053754744,-8.342356747430923,0.033170023639775663,-0.96331447218799449
16,-71.741932892176592,0.16339889611689487,-9.3490521839357505,0.041912425579347434,-1.0066954365048277
17,-70.662463476598077,0.21544868679575768,-10.395952930289274,0.052049790678862819,-1.0469007463535245
18,-69.609025651439367,0.27909435180044412,-11.47984729157905,0.06364566500468645,-1.0838943612897758
19,-68.582913347335861,0.35583696131148962,-12.597517797553243,0.076742609511045501,-1.1176705059741925
20,-67.585379519712916,0.44721839242219108,-13.74573842021702,0.091381431110701433,-1.1482206226637766
21,-66.617518226353852,0.55479234311282777,-14.92131695902987,0.10757395069063666,-1.1755785388128506
22,-65.680378992280168,0.68011632117631571,-16.121102014349933,0.12532397806348791,-1.199785055320062
23,-64.774894463105312,0.82472882069615927,-17.34201421341826,0.14461249951984353,-1.2209121990683256
24,-63.901850944082355,0.99013467332518723,-18.581063880684802,0.16540585262902799,-1.2390496672665419
25,-63.061996521724261,1.1777825077249133,-19.835381546260116,0.18764783439972599,-1.254317665575313
26,-62.255891117591048,1.3890703282209413,-21.102203388704826,0.21128782049602812,-1.2668218424447091
27,-61.484018546491392,1.6253255193224081,-22.378898319298255,0.23625519110146678,-1.2766949305934301
28,-60.746764738993818,1.8877855846617604,-23.662994106750421,0.26246006533935223,-1.2840957874521657
29,-60.04433478427309,2.1775998112910724,-24.9521705210074,0.28981422662931189,-1.2891764142569786
30,-59.376897853443168,2.4958127972512458,-26.244281975530381,0.31821298596017328,-1.2921114545229799
31,-58.744451121601521,2.8433697322948497,-27.537346045542638,0.34755693504360363,-1.2930640700122558
32,-58.146888634299344,3.2211129687881175,-28.829546407738476,0.37774323649326774,-1.2922003621958393
33,-57.584038897308787,3.6297799679945308,-30.11923409982542,0.4086669992064132,-1.2896876920869429
34,-57.055551141305216,4.0699920631639017,-31.404943917782575,0.44021209516937082,-1.285709817957154
35,-56.561036540570583,4.5422657047714061,-32.685375527884609,0.47227364160750407,-1.2804316101020368
36,-56.099976759349971,5.0470138818241406,-33.959390611268027,0.50474817705273411,-1.2740150833834198
37,-55.671739135542133,5.5845484730404946,-35.226008915065435,0.53753459121635427,-1.266618303797409
38,-55.275652468775959,6.1550833605183204,-36.48440343389057,0.57053488747782555,-1.2583945188251342
39,-54.910896111169571,6.7587381930634658,-37.733894856531506,0.6036548325451454,-1.2494914226409348
40,-54.576606949468434,7.3955530767119271,-38.973928664558571,0.63681488364846106,-1.240033808027067
41,-54.271839371736789,8.0654925163044311,-40.204069554575099,0.66993943959250468,-1.2301408900165249
42,-53.99554095671381,8.7684393286287658,-41.424012263264174,0.70294681232433465,-1.2199427086890717
43,-53.746636369710053,9.504210066847385,-42.633557858338726,0.73577073821862005,-1.2095455950745546
44,-53.523943391431253,10.272569688441429,-43.832591060925417,0.76835962159404347,-1.1990332025866879
45,-53.32623514762426,11.073225136962765,-45.021091764892496,0.80065544852133641,-1.188500703967083
46,-53.152239624173127,11.905829837996711,-46.199129012181821,0.83260470103394557,-1.1780372472893239
47,-53.000598551823586,12.770008089414922,-47.36682228069543,0.86417825141821081,-1.1676932685136119
48,-52.869938021823856,13.665347778633736,-48.524354310362604,0.89533968921881291,-1.1575320296671703
49,-52.758819259886614,14.591403755924203,-49.671966617482987,0.92605597729046674,-1.1476123071203808
50,-52.665763253991258,15.547710821187025,-50.809939032799363,0.95630706526282117,-1.1379724153163773
51,-52.589267892799342,16.533785946125271,-51.93858675891444,0.98607512493824501,-1.1286477261150789
52,-52.527765811074239,17.549130380523206,-53.058257575569115,1.0153444343979368,-1.1196708166546749
53,-52.479676806938272,18.593241149036864,-54.169313301000543,1.044110768513659,-1.1110557254314262
54,-52.443399616859168,19.665602591801559,-55.272144325936701,1.0723614427646966,-1.1028310249361595
55,-52.417313755712271,20.765706916896235,-56.367135686990032,1.1001043250946758,-1.0949913610533333
56,-52.399777243927659,21.893044841581066,-57.454682842947378,1.1273379246848294,-1.0875471559573471
57,-52.389054831713175,23.047115650452508,-58.535174966486252,1.1540708088714431,-1.0804921235388736
58,-52.383387266495077,24.227427090686078,-59.608995099648993,1.1803114402335699,-1.0738201331627406
59,-52.381104518732606,25.433504436834259,-60.676504757967813,1.2060773461481804,-1.0675096583188184
60,-52.3806560179315,26.664880497114595,-61.738060613570816,1.2313760602803376,-1.0615558556030031
61,-52.380638566728216,27.921104594597217,-62.793999179246264,1.2562240974826224,-1.0559385656754487
62,-52.380627453178491,29.201741732685864,-63.844637947861528,1.2806371380886468,-1.050638768615263
63,-52.380618077958978,30.506371806777363,-64.890276467381341,1.3046300740914971,-1.0456385195198092
64,-52.380608558644262,31.834588859499394,-65.93119735512532,1.3282170527220307,-1.0409208877439788
65,-52.380599196741315,33.186000377073285,-66.967667254699023,1.3514115175738923,-1.0364698995736976
66,-52.380590538295245,34.560226624487093,-67.999937738838582,1.3742262474138112,-1.0322704841395633
67,-52.380582978081321,35.956900017295006,-69.028246161226065,1.396673392807914,-1.0283084223874803
68,-52.380576813756022,37.375664527982401,-70.052816460159576,1.4187645106873947,-1.0245702989335062
69,-52.380572225205178,38.816175124952316,-71.073859916799464,1.4405105969699172,-1.0210434566398934
70,-52.380569042569675,40.278097242298863,-72.091575870557989,1.4619221173465475,-1.0177159537585234
71,-52.380567028192232,41.761106278636667,-73.106152394054604,1.4830090363378072,-1.0145765234966209
72,-52.38056589769549,43.264887123353255,-74.117766929922439,1.5037808447165881,-1.0116145358678403
73,-52.380565322621862,44.789133708743393,-75.126586891621997,1.5242465853901401,-1.0088199616995541
74,-52.38056501020089,46.333548586571531,-76.132770230296472,1.5444148778281395,-1.0061833386744716
75,-52.38056484205417,47.89784252769045,-77.136465969588073,1.5642939411189203,-1.0036957392916079
76,-52.380564751097211,49.481734143421775,-78.137814710226195,1.5838916157313228,-1.0013487406381198
77,-52.380564693519943,51.084949527477001,-79.136949106095855,1.6032153840552257,-0.99913439586965769
78,-52.380564657731419,52.707221917266708,-80.133994313398517,1.622272389789708,-0.99704520730266433
79,-52.38056463506193,54.348291373510591,-81.12906841442603,1.6410694562438861,-0.9950741010275167
80,-52.380564620911933,56.007904477122388,-82.122282817382583,1.6596131036117969,-0.99321440295654873
81,-52.380564612496705,57.685814042401617,-83.113742633608439,1.6779095652792329,-0.99145981622585433
82,-52.380564607560927,59.381778845618776,-84.103547033482798,1.6959648032171559,-0.98980439987435709
83,-52.380564604921048,61.095563368132012,-85.091789582210751,1.7137845225132395,-0.98824254872795048
84,-52.380564603560956,62.82693755322218,-86.07855855663135,1.7313741850901665,-0.98676897442060174
85,-52.380564602894609,64.575676575878745,-87.063937244119501,1.748739022656572,-0.98537868748815327
86,-52.38056460262144,66.341560624812658,-88.048004224593697,1.7658840489339154,-0.98406698047419583
87,-52.38056460249917,68.124374696012794,-89.030833636584504,1.7828140712001355,-0.98282941199080742
88,-52.380564602451649,69.923908397201416,-90.0124954282647,1.7995337011886192,-0.98166179168018997
89,-52.380564602436024,71.739955762580266,-90.993055594290979,1.8160473653788485,-0.9805601660262836
90,-52.380564602428855,73.572315077293297,-91.972576399259296,1.832359314713029,-0.97952080496831861
