tick,angle,x,y,vx,vy
1,-89.53749999979999,0.3289215900348465,-4.0094579939135046e-07,0.3289215900348465,-4.0094579939135046e-07
2,-51.976618833334165,0.6564889407766995,-0.053961461720957254,0.327567350741853,-0.05396106077515786
3,-37.335572960270554,0.9861900884380204,-0.1421173602221013,0.3297011476613209,-0.08815589850114407
4,-27.21715258568858,1.3210998298198906,-0.2510514842809405,0.33490974138187024,-0.10893412405883919
5,-20.14133133103921,1.6633453871757429,-0.3726242713595951,0.34224555735585227,-0.12157278707865458
6,-15.288431312457902,2.0142515272135584,-0.5021632691025059,0.3509061400378155,-0.12953899774291078
7,-12.476312628029769,2.3745886302770196,-0.6372226287653269,0.3603371030634612,-0.13505935966282095
8,-10.980593185037629,2.744824125906174,-0.7764617112478284,0.3702354956291541,-0.1392390824825015
9,-10.476452974006467,3.125247339058335,-0.9191822166451646,0.38042321315216115,-0.14272050539733627
10,-10.757075212254664,3.516039484995329,-1.0651072624636702,0.39079214593699385,-0.14592504581850552
11,-10.958008447708039,3.917359921222071,-1.2139585078817121,0.4013204362267419,-0.14885124541804196
12,-11.497642793850588,4.3293180528641235,-1.3656544238807873,0.4119581316420529,-0.1516959159990751
13,-12.109130442058316,4.752006579880208,-1.5201697062520465,0.42268852701608445,-0.15451528237125917
14,-12.730071117587528,5.185509676709807,-1.6775049089383711,0.43350309682959953,-0.15733520268632456
15,-13.376514316864789,5.629903502605961,-1.8376936008757236,0.4443938258961544,-0.16018869193735258
16,-13.889328182982467,6.085273626297208,-2.000704963348703,0.4553701236912467,-0.16301136247297934
17,-14.449474897022919,6.5516934558258635,-2.166553976660401,0.46641982952865546,-0.16584901331169832
18,-14.942222454986677,7.029239198070998,-2.335227512251269,0.47754574224513474,-0.16867353559086812
19,-15.449608853848673,7.517980098741444,-2.5067328930827975,0.48874090067044546,-0.1715053808315281
20,-15.948027251514503,8.017981817469954,-2.681085353425946,0.5000017187285097,-0.17435246034314814
21,-16.43496886184245,8.529308435869147,-2.858299259191086,0.5113266183991927,-0.17721390576514032
22,-16.907250442920997,9.052021887187934,-3.038391104131176,0.5227134513187862,-0.1800918449400897
23,-17.363350486700426,9.586182978977465,-3.221374612506078,0.534161091789532,-0.18298350837490202
24,-17.803979660163563,10.131850610430615,-3.407264222657581,0.54566763145315,-0.18588961015150304
25,-18.231324777177406,10.689083559717602,-3.596065925581156,0.557232949286988,-0.18880170292357498
26,-18.64787273895635,11.257937620235552,-3.7877899742417163,0.5688540605179496,-0.19172404866056028
27,-19.055520706415635,11.838466868545956,-3.9824456934981156,0.5805292483104035,-0.1946557192563995
28,-19.45525029918754,12.430722833516212,-4.180045550629899,0.5922559649702556,-0.19759985713178285
29,-19.84728787560975,13.034754802949635,-4.380604544928876,0.6040319694334241,-0.200558994298977
30,-20.2314997760446,13.650611048143196,-4.584134941051226,0.6158562451935606,-0.20353039612234985
31,-20.607770907002262,14.278338755059837,-4.790646025070443,0.6277277069166414,-0.20651108401921764
32,-20.976218836626813,14.917982910483065,-5.000148786682912,0.6396441554232281,-0.20950276161246834
33,-21.33722054665911,15.569586501413271,-5.212655490239449,0.6516035909302056,-0.21250670355653728
34,-21.691314064879023,16.233191791673576,-5.428174187591723,0.6636052902603068,-0.2155186973522736
35,-22.039062163892254,16.908837870457887,-5.646719020809143,0.6756460787843109,-0.21854483321741966
36,-22.380944508514673,17.596563457812366,-5.8682990657494125,0.6877255873544771,-0.22158004494026984
37,-22.717306535704765,18.296405469275914,-6.092923706682362,0.6998420114635483,-0.22462464093295004
38,-23.048362221353955,19.00839911498316,-6.320602376243694,0.7119936457072452,-0.227678669561332
39,-23.174235094514888,19.732624056004504,-6.551146329921801,0.7242249410213444,-0.2305439536781075
40,-23.895024022585385,20.46900199029735,-6.784990466837642,0.736377934292847,-0.23384413691584122
41,-24.010880201101727,21.217627420484618,-7.021923196253706,0.7486254301872672,-0.23693272941606347
42,-24.322051952412934,21.978529946311554,-7.261951291707257,0.7609025258269343,-0.2400280954535511
43,-24.62877022930894,22.751736241546237,-7.5050865234850805,0.7732062952346815,-0.2431352317778234
44,-24.930781882263517,23.537271877708335,-7.751339256603872,0.7855356361620996,-0.24625273311879126
45,-25.22880130863392,24.335161307362988,-8.000718355204821,0.7978894296546523,-0.2493790986009496
46,-25.5228145833687,25.145426302213274,-8.253237187057417,0.8102649948502859,-0.25251883185259655
47,-25.812725280376654,25.968087843362266,-8.508907050384519,0.822661541148993,-0.25566986332710234
48,-26.099085118612066,26.80316605452161,-8.767737164231399,0.8350782111593467,-0.2588301138468792
49,-26.38183219378388,27.650680142520372,-9.02973464822781,0.84751408799876,-0.26199748399641204
50,-26.66095444369509,28.510646650138874,-9.294910898317617,0.8599665076185028,-0.2651762500898074
51,-26.9365609440666,29.383081479965693,-9.563274734320409,0.872434829826819,-0.26836383600279207
52,-27.208839959826342,30.267998040210408,-9.834838962948755,0.8849165602447155,-0.2715642286283453
53,-27.47803153951341,31.165409320109944,-10.10961340600324,0.8974112798995371,-0.274774443054484
54,-27.74395830464796,32.07532777037012,-10.387604977018137,0.9099184502601821,-0.27799157101489763
55,-28.006905599913757,32.997763315122036,-10.66882450918247,0.9224355447519099,-0.2812195321643329
56,-28.26675476229535,33.93272553694228,-10.953279577052074,0.934962221820246,-0.28445506786960406
57,-28.523720356222938,34.880221596564176,-11.2409814763326,0.9474960596219012,-0.2877018992805258
58,-28.77790800293647,35.840258473513444,-11.531937941677242,0.9600368769492663,-0.29095646534464326
59,-29.029286424543493,36.81284079110294,-11.826160294512723,0.9725823175895006,-0.2942223528354807
60,-29.27794679558226,37.79797312524673,-12.123656028233352,0.9851323341437841,-0.29749573372062793
61,-29.52400740224538,38.79565773517389,-12.424436126678822,0.9976846099271652,-0.30078009844546955
62,-29.76753813210886,39.80589479886838,-12.728514750334663,1.0102370636944928,-0.30407862365584065
63,-30.008566466516612,40.828686979889646,-13.035894380420121,1.022792181021266,-0.3073796300854581
64,-30.24711300161775,41.864032185709036,-13.346588555906244,1.035345205819387,-0.3106941754861237
65,-30.483213945592475,42.91192872375595,-13.66060623080585,1.0478965380469116,-0.31401767489960575
66,-30.716922944448505,43.97237508934938,-13.977952007106197,1.0604463655934304,-0.3173457763003468
67,-30.948303119555526,45.04536744331454,-14.298633893726432,1.0729923539651596,-0.3206818866202356
68,-31.177420113741817,46.13089984588826,-14.622662989262343,1.0855324025737223,-0.3240290955359114
69,-31.404338926075866,47.228966864781604,-14.95004555240949,1.0980670188933426,-0.32738256314714625
70,-31.62912057355878,48.339560913568846,-15.280790972869127,1.1105940487872432,-0.33074542045963645
71,-31.851813559649607,49.46267245791311,-15.614911498586679,1.12311154434426,-0.3341205257175508
72,-32.07244066107776,50.59829272563557,-15.95241412683333,1.1356202677224587,-0.33750262824665206
73,-32.29099181680902,51.74641089883975,-16.293308818505547,1.148118173204181,-0.34089469167221587
74,-32.50744264017576,52.907016906162696,-16.637600269745853,1.1606060073229483,-0.3442914512403048
75,-32.721813058527886,54.080098550815954,-16.9852962217135,1.1730816446532595,-0.3476959519676491
76,-32.93424562308393,55.26564171041101,-17.336407196266407,1.1855431595950587,-0.35111097455290485
77,-33.145018659770486,56.463633230888284,-17.690938105513823,1.1979915204772733,-0.35453090924741526
78,-33.35436228940338,57.67405791283883,-18.048896792017747,1.210424681950551,-0.3579586865039228
79,-33.562036478265256,58.8968987110562,-18.410293748662554,1.2228407982173695,-0.3613969566448068
80,-33.76696593170385,60.13213689854502,-18.77514190555922,1.2352381874888163,-0.3648481568966659
81,-33.96755156124377,61.37975795622502,-19.143439660096895,1.2476210576799995,-0.3682977545376768
82,-34.1623564717903,62.63974504734698,-19.5151886762991,1.259987091121955,-0.3717490162022055
83,-34.346772256342504,63.912088068703326,-19.890368125287075,1.2723430213563494,-0.37517944898797495
