tick,angle,x,y,vx,vy
1,-90,0.29433006646949611,-0.028883145653856301,0.29433006646949617,-0.028883145653856399
2,-90,0.58571683508124761,-0.13558863047141678,0.29138676861175145,-0.10670548481756047
3,-90,0.87418973878576245,-0.3185600091537506,0.28847290370451473,-0.18297137868233376
4,-90,1.1597779162043242,-0.57627196527821867,0.28558817741856157,-0.25771195612446812
5,-90,1.4425102145722815,-0.90722968872154186,0.28273229836795705,-0.33095772344332314
6,-60.578189027562708,1.7309424307601338,-1.2863956524285141,0.2884322161878522,-0.3791659637069722
7,-35.514238714645089,2.0412501082693071,-1.6701865346230484,0.31030767750917315,-0.38379088219453444
8,-35.509984569066987,2.3734906264913302,-2.0582007901067465,0.33224051822202383,-0.38801425548369778
9,-34.63134990458812,2.7281922833413565,-2.4486833562105961,0.35470165685002625,-0.39048256610384996
10,-32.91092620464044,3.1062368788030712,-2.8387375520157816,0.37804459546171454,-0.39005419580518558
11,-32.684792718705545,3.5074869597197873,-3.2280559006262513,0.40125008091671638,-0.38931834861046949
12,-34.097216711768795,3.9308859906532492,-3.6188912778848117,0.42339903093346204,-0.39083537725855994
13,-34.146364143212224,4.3762774280958343,-4.0111890280781388,0.44539143744258541,-0.39229775019332769
14,-33.954245211869022,4.8436387591685808,-4.4045197065777231,0.46736133107274624,-0.3933306784995837
15,-35.324661412402278,5.3320336372079797,-4.8009636274948972,0.48839487803939902,-0.39644392091717467
16,-32.800659353737203,5.8428698954469578,-5.1962783203347049,0.51083625823897838,-0.39531469283980686
17,-34.162571332381447,6.375088193633399,-5.5926911394583962,0.53221829818644084,-0.39641281912369153
18,-34.3710770008582,6.9284225407250313,-5.9904368653130673,0.55333434709163243,-0.39774572585467111
19,-34.438566611087545,7.502704835525301,-6.3895045511597415,0.57428229480026893,-0.39906768584667407
20,-33.333142240797265,8.0984356648677167,-6.7880379463694451,0.59573082934241428,-0.39853339520970388
21,-33.096672305019879,8.7155001429652934,-7.1857160083095932,0.61706447809757758,-0.39767806194014815
22,-33.355887834649991,9.3534865443618926,-7.583016935859705,0.63798640139659912,-0.39730092755011198
23,-33.448002390553562,10.01210966047972,-7.9801199366331037,0.65862311611782653,-0.39710300077339866
24,-34.250622284819855,10.690695842178563,-8.3783043908353196,0.67858618169884322,-0.39818445420221649
25,-34.024716755463153,11.389240129652823,-8.7771198383401696,0.69854428747425912,-0.39881544750484882
