tick,angle,x,y,vx,vy
1,-87.962550065145848,0.29368498268101417,-0.029062327613740724,0.29368498268101428,-0.029062327613740786
2,-87.936284389492528,0.58444573165686586,-0.13585316013635795,0.29076074897585158,-0.10679083252261719
3,-87.884865352147102,0.87232164882080809,-0.31880263978480927,0.28787591716394201,-0.18294947964845132
4,-87.804104830296225,1.1573532375179298,-0.57636883402843786,0.28503158869712192,-0.25756619424362853
5,-87.692316449531319,1.4395834727944674,-0.90703411792095656,0.28223023527653757,-0.3306652838925187
6,-60.438973361979635,1.727582200327598,-1.2857227948561614,0.28799872753313066,-0.37868867693520486
7,-35.624098156792101,2.0373712296930484,-1.6692510579621052,0.30978902936545027,-0.38352826310594368
8,-35.272828196213396,2.3692158919876327,-2.0566496981879778,0.33184466229458442,-0.38739864022587261
9,-34.877449931574525,2.7233493804326141,-2.4469604689574114,0.35413348844498138,-0.39031077076943338
10,-34.585268324954583,3.0998884759805208,-2.8394717384760666,0.37653909554790643,-0.39251126951865534
11,-34.388518376043109,3.4988542412486527,-3.2336804690967256,0.39896576526813216,-0.3942087306206592
12,-34.239340098128814,3.9202096784171934,-3.62920499438275,0.4213554371685404,-0.39552452528602466
13,-34.12478740836756,4.3638766132100155,-4.0257486781265959,0.44366693479282254,-0.39654368374384596
14,-34.041414322474168,4.8297410526596503,-4.4230926194918929,0.46586443944963513,-0.39734394136529649
15,-33.985384726261913,5.3176643914899984,-4.8210716101925781,0.487923338830348,-0.3979789907006851
16,-33.946248483486706,5.8274868598781788,-5.2195694866280169,0.50982246838818057,-0.39849787643543944
17,-33.929473702942218,6.3590306818942803,-5.6185148763042179,0.53154382201610184,-0.39894538967620052
18,-33.924887879521201,6.9121092333108578,-6.0178599623035991,0.55307855141657725,-0.39934508599938129
19,-33.927266394592714,7.486528550583305,-6.4175784532908464,0.57441931727244788,-0.39971849098724771
20,-33.931846433101661,8.0820949928478374,-6.8176463587186955,0.59556644226453193,-0.4000679054278487
