tick,angle,x,y,vx,vy,horizontal_bps,vertical_bps
1,-20.019983421405467,0.310474455492585,-3.5266063249792223,0.310474455492585,-3.5266063249792223,6.209489109851701,-70.53212649958445
2,-22.075080726643566,0.8898759580555455,-6.711378624594088,0.5794015025629605,-3.184772299614866,11.58803005125921,-63.69544599229732
3,-24.206386040830342,1.7017832899104572,-9.599835242936383,0.8119073318549118,-2.8884566183422953,16.238146637098236,-57.76913236684591
4,-26.399229539440586,2.7143492384711956,-12.232111179181098,1.0125659485607383,-2.632275936244716,20.251318971214765,-52.645518724894316
5,-28.638404444227806,3.8997775164107797,-14.643580134300425,1.1854282779395842,-2.411468955119328,23.708565558791683,-48.22937910238656
6,-30.907466567451895,5.233884177616251,-16.86536296770619,1.3341066612054713,-2.221782833405763,26.682133224109425,-44.435656668115264
7,-33.18791116943839,6.695676840453136,-18.92481113854059,1.4617926628368851,-2.0594481708344015,29.235853256737702,-41.188963416688026
8,-35.46299839633745,8.266972327996015,-20.845939420713012,1.571295487542879,-1.9211282821724227,31.42590975085758,-38.42256564344845
9,-37.71326807365646,9.93205134520371,-22.649811007396792,1.6650790172076957,-1.8038715866837796,33.30158034415391,-36.07743173367559
10,-39.91972544127126,11.677364161760693,-24.35485576280676,1.7453128165569827,-1.7050447554099668,34.90625633113965,-34.10089510819934
11,-42.06259300644032,13.491267001773316,-25.977151154942728,1.8139028400126231,-1.6222953921359684,36.278056800252465,-32.445907842719365
12,-44.124988106972175,15.363774633715966,-27.53068926060585,1.8725076319426497,-1.5535381056631214,37.45015263885299,-31.07076211326243
13,-46.08909512563111,17.286332079911126,-29.02762792729375,1.922557446195161,-1.4969386666878992,38.45114892390322,-29.938773333757986
14,-47.939275772697655,19.251645568926136,-30.4784657597085,1.965313489015011,-1.4508378324147497,39.30626978030022,-29.016756648294994
15,-49.66108405736717,21.253525502245463,-31.892211116788303,2.0018799333193256,-1.4137453570798058,40.037598666386515,-28.274907141596117
16,-51.245096663516044,23.286730625492677,-33.276562530399445,2.033205123247213,-1.3843514136111417,40.664102464944264,-27.687028272222832
17,-52.6831481357291,25.346839387355907,-34.63806001432083,2.0601087618632308,-1.3614974839213825,41.20217523726461,-27.22994967842765
18,-53.97130188196095,27.430144431222146,-35.982211547597124,2.0833050438662415,-1.3441515332762939,41.66610087732483,-26.88303066552588
19,-55.10848322189926,29.53356675123188,-37.31359825108762,2.103422320009736,-1.3313867034904958,42.06844640019472,-26.627734069809918
20,-56.099889807805475,31.654564747100054,-38.6359956126851,2.1209979958681737,-1.322397361597478,42.41995991736347,-26.44794723194956
21,-56.95221036328607,33.791049303693974,-39.95249194168074,2.1364845565939214,-1.3164963289956397,42.729691131878425,-26.329926579912794
22,-57.675752699438235,35.94131355543324,-41.265588749255514,2.1502642517392623,-1.3130968075747698,43.005285034785246,-26.261936151495394
23,-58.282006418604716,38.10398456372635,-42.57727012480855,2.162671008293112,-1.3116813755530359,43.25342016586224,-26.233627511060718
24,-58.78635180232872,40.277952305414594,-43.88911067571596,2.1739677416882435,-1.3118405509074118,43.47935483376487,-26.236811018148238
25,-59.20242083675494,42.46232792085451,-45.20233896168011,2.184375615439922,-1.3132282859641535,43.68751230879844,-26.26456571928307
26,-59.54408619610777,44.65640722591632,-46.517893737596886,2.1940793050618073,-1.3155547759167736,43.881586101236145,-26.31109551833547
27,-59.82304931780937,46.85962817394436,-47.83649050819758,2.203220948028037,-1.3185967706006907,44.06441896056074,-26.371935412013812
28,-60.05207546704049,49.07154210063018,-49.1586666765115,2.2119139266858245,-1.3221761683139208,44.23827853371649,-26.443523366278416
29,-60.23984734163671,51.2917973638629,-50.48480731442954,2.2202552632327137,-1.3261406379180343,44.405105264654274,-26.522812758360686
30,-60.3938145992486,53.52011424525807,-51.81518486941848,2.228316881395175,-1.3303775549889423,44.5663376279035,-26.607551099778846
31,-60.51852251762363,55.7562714495035,-53.14998057980545,2.2361572042454303,-1.3347957103869696,44.723144084908604,-26.695914207739392
32,-60.619608892363324,58.000103530941246,-54.48928867434658,2.243832081437742,-1.3393080945411318,44.87664162875484,-26.786161890822633
33,-60.69915260515047,60.251488454260254,-55.83313614445886,2.2513849233190055,-1.3438474701122833,45.02769846638011,-26.876949402245668
34,-60.75898712863097,62.510335753108066,-57.18150153534421,2.258847298847809,-1.3483653908853461,45.176945976956176,-26.967307817706924
35,-60.799260709793586,64.77658536837346,-58.5343169015248,2.2662496152654006,-1.3528153661805893,45.324992305308015,-27.056307323611787
36,-60.82255200544526,67.05021679745047,-59.891453577839755,2.273631429077008,-1.357136676314958,45.472628581540164,-27.14273352629916
