sigma,best_horizontal_bps,delta_vs_oscillating_bps,best_tick,rms_delta_deg
2.0,74.80371955846856,-0.39282113429850085,1572,0.9400422043210177
4.0,74.74309689789013,-0.4534437948769323,1572,0.5154031407463238
6.0,74.61309039092843,-0.5834503018386243,1572,0.39493762622226336
8.0,74.44492169364472,-0.7516189991223428,1572,0.3234449075561561
10.0,74.27500384793245,-0.9215368448346055,1572,0.2757442793072915
12.0,74.1153856108223,-1.0811550819447575,1572,0.24194380711756763
16.0,73.82477023839553,-1.3717704543715286,1572,0.19730773136807808
20.0,73.55578331693633,-1.6407573758307308,1572,0.1690058758151491
