tick,angle,x,y,vx,vy,min_y
1,-0.049929041834445798,0.0017820025663348755,-0.01764003959656139,0.0017820025663348755,-0.01764003959656139,-0.01764003959656139
2,-0.049929041834335774,0.006899914109342823,-0.050838595656580984,0.0051179115430079478,-0.033198556060019591,-0.050838595656580984
3,-0.054472271847209444,0.016706638409785767,-0.097759764595025542,0.0098067243004429441,-0.046921168938444557,-0.097759764595025542
4,-0.096933861512115679,0.032377970153268446,-0.1567843927355379,0.015671331743482682,-0.059024628140512375,-0.1567843927355379
5,-0.18310619731434979,0.054933666189416981,-0.22648472358059674,0.022555696036148536,-0.069700330845058847,-0.22648472358059674
6,-0.31029963391486992,0.085256028688984811,-0.30560219719899218,0.03032236249956783,-0.079117473618395412,-0.30560219719899218
7,-0.47405718777640382,0.12410629798429668,-0.39302806656212724,0.038850269295311858,-0.087425869363135053,-0.39302806656212724
8,-0.66984556038568122,0.17213914119468379,-0.48778622454977844,0.048032843210387109,-0.094758157987651179,-0.48778622454977844
9,-0.89351797499743546,0.22991543090344085,-0.58901840422665586,0.057776289708757075,-0.10123217967687746,-0.58901840422665586
10,-1.1414144960421302,0.29791359621823055,-0.69597070874306577,0.06799816531478968,-0.10695230451640997,-0.69597070874306577
11,-1.4103476486701689,0.37653963636609483,-0.80798200919256324,0.078626040147864285,-0.11201130044949752,-0.80798200919256324
12,-1.6975539701201834,0.46613598989332833,-0.92447376864204422,0.089596353527233497,-0.11649175944948101,-0.92447376864204422
13,-2.0006393768058892,0.56698949185069158,-1.0449402182169796,0.10085350195736326,-0.12046644957493537,-1.0449402182169796
14,-2.3175278880998622,0.67933833187569881,-1.1689402317112747,0.1123488400250072,-0.12400001349429503,-1.1689402317112747
15,-2.6464165122682992,0.80337815677099378,-1.2960907213022472,0.12403982489529496,-0.12715048959097242,-1.2960907213022472
16,-2.9857366012702959,0.93926762795045704,-1.4260598426542737,0.13588947117946321,-0.12996912135202635,-1.4260598426542737
17,-3.334121105869206,1.0871333652687734,-1.5585606623141919,0.14786573731831629,-0.13250081965991822,-1.5585606623141919
