tick,angle,x,y,vx,vy,min_y
1,-0.01,0.001782000017166138,-0.017640000343322755,0.001782000017166138,-0.017640000343322755,-0.017640000343322755
2,-0.016496574768713336,0.00689990435154955,-0.050838488040552375,0.005117904334383412,-0.03319848769722962,-0.050838488040552375
3,-0.048730303653779894,0.016706615352092096,-0.097759589752961673,0.0098067110005425461,-0.046921101712409291,-0.097759589752961673
4,-0.1125438990133095,0.032377927277197613,-0.15678422241339218,0.015671311925105513,-0.059024632660430523,-0.15678422241339218
5,-0.20741730006393488,0.054933599649992691,-0.226484716344133,0.022555672372795078,-0.06970049393074082,-0.226484716344133
6,-0.33116540013741541,0.085255941895185622,-0.30560259863950512,0.030322342245192927,-0.079117882295372102,-0.30560259863950512
7,-0.48124920935516974,0.12410622173118907,-0.39302893299083214,0.038850279836003455,-0.087426334351327031,-0.39302893299083214
8,-0.65519430656666311,0.1721391354463962,-0.48778722124543733,0.04803291371520714,-0.094758288254605194,-0.48778722124543733
9,-0.85072327748679832,0.22991562003145721,-0.58901802416004345,0.057776484585061016,-0.10123080291460615,-0.58901802416004345
10,-1.0657866254076194,0.29791411728917355,-0.69596600872652215,0.067998497257716339,-0.10694798456647868,-0.69596600872652215
11,-1.2985564570931589,0.37654064128602038,-0.80796758818381864,0.078626523996846845,-0.11200157945729648,-0.80796758818381864
12,-1.5474073191904583,0.46613758367668662,-0.9244407736285043,0.089596942390666234,-0.1164731854446856,-0.9244407736285043
13,-1.8108938270422661,0.56699153643496913,-1.0448760652874358,0.10085395275828246,-0.12043529165893145,-1.0448760652874358
14,-2.087728886204367,0.67934021736637684,-1.1688284758295839,0.11234868093140767,-0.12395241054214817,-1.1688284758295839
15,-2.3767638894057823,0.8033787322540189,-1.29590943790803,0.12403851488764206,-0.12708096207844602,-1.29590943790803
16,-2.6769712508590811,0.93926484939847166,-1.4257815591927614,0.13588611714445273,-0.12987212128473133,-1.4257815591927614
17,-2.987429221434545,1.0871239907743973,-1.558151881964086,0.14785914137592551,-0.13237032277132468,-1.558151881964086
18,-3.3073087680266999,1.2470532934518646,-1.6927683480733795,0.15992930267746722,-0.13461646610929348,-1.6927683480733795
19,-3.6358622579588395,1.4191257345752533,-1.8294131849110518,0.17207244112338868,-0.13664483683767231,-1.8294131849110518
20,-3.972413694655148,1.6033930763847353,-1.9679015768959711,0.18426734180948195,-0.13848839198491927,-1.9679015768959711
21,-4.3163502752897642,1.7998892802732791,-2.1080755219340865,0.19649620388854391,-0.14017394503811548,-2.1080755219340865
22,-4.667115070407772,2.0086327836836797,-2.2498028195930555,0.2087435034104006,-0.14172729765896888,-2.2498028195930555
23,-5.0242006567093727,2.2296290211300365,-2.3929733571666167,0.22099623744635688,-0.14317053757356121,-2.3929733571666167
24,-5.3871435585108607,2.4628724685152008,-2.5374967691986425,0.23324344738516456,-0.14452341203202565,-2.5374967691986425
25,-5.7555193781037364,2.7083484557159769,-2.6833003727061993,0.24547598720077612,-0.14580360350755686,-2.6833003727061993
26,-6.1289385135869772,2.9660347761343209,-2.8303273295525755,0.25768632041834411,-0.14702695684637629,-2.8303273295525755
27,-6.5070423799860988,3.2359031065505484,-2.9785350715636083,0.26986833041622732,-0.14820774201103293,-2.9785350715636083
28,-6.8895000622658271,3.5179202721950915,-3.1278938837290751,0.28201716564454332,-0.14935881216546656,-3.1278938837290751
29,-7.2760053400533016,3.8120496047810342,-3.2783839941732267,0.29412933258594282,-0.1504901104441515,-3.2783839941732267
30,-7.6662740345080795,4.1182515773693913,-3.4299961909375494,0.30620197258835735,-0.15161219676432267,-3.4299961909375494
31,-8.0600416334169402,4.4364846891616683,-3.5827308723277191,0.31823311179227726,-0.15273468139016971,-3.5827308723277191
32,-8.4570611589489353,4.7667065363508501,-3.7365952651587548,0.33022184718918179,-0.15386439283103573,-3.7365952651587548
33,-8.8571012468302399,5.1088740829668096,-3.8916046895085112,0.34216754661595911,-0.15500942434975626,-3.8916046895085112
34,-9.259944410281534,5.4629446072737249,-4.0477797647072506,0.35407052430691521,-0.1561750751987398,-4.0477797647072506
35,-9.6653854662900898,5.8288757770716195,-4.2051480745924206,0.36593116979789481,-0.15736830988517028,-4.2051480745924206
36,-10.073230104743214,6.20662650735966,-4.3637413317289724,0.37775073028804057,-0.15859325713655181,-4.3637413317289724
37,-10.483293582732859,6.5961568798998949,-4.5235973532782721,0.38953037254023448,-0.15985602154929973,-4.5235973532782721
38,-10.89539953059279,6.9974289387333108,-4.6847571550233607,0.40127205883341599,-0.16115980174508832,-4.6847571550233607
39,-11.309378856195494,7.4104068821046392,-4.847264630184716,0.41297794337132815,-0.16250747516135566,-4.847264630184716
40,-11.725068736170293,7.8350567893134695,-5.0111689731006299,0.42464990720883078,-0.16390434291591405,-5.0111689731006299
41,-12.142311685249888,8.2713473747232555,-5.1765216028145176,0.43629058540978555,-0.16535262971388792,-5.1765216028145176
42,-12.560954694823872,8.7192500756129512,-5.3433759439046513,0.44790270088969519,-0.16685434109013333,-5.3433759439046513
43,-12.98084843293964,9.1787386153673651,-5.5117902726695673,0.45948853975441362,-0.16841432876491577,-5.5117902726695673
44,-13.401846499597555,9.6497902738082608,-5.6818213085968425,0.47105165844089503,-0.17003103592727531,-5.6818213085968425
45,-13.823804731801504,10.132384616831231,-5.8535305453413642,0.48259434302296983,-0.17170923674452121,-5.8535305453413642
46,-14.246580552318978,10.62650427087325,-6.0269807898956982,0.49411965404201824,-0.17345024455433439,-6.0269807898956982
47,-14.670032358974233,11.132134901840354,-6.2022360732667625,0.50563063096710381,-0.17525528337106466,-6.2022360732667625
48,-15.094018949158476,11.649265181586317,-6.3793615803679975,0.51713027974596293,-0.17712550710123498,-6.3793615803679975
49,-15.518398977060613,12.177886099854115,-6.5584272210592633,0.52862091826779778,-0.17906564069126618,-6.5584272210592633
50,-15.943030439526463,12.717992475638908,-6.7395000509624161,0.5401063757847927,-0.18107282990315321,-6.7395000509624161
51,-16.367770189005906,13.269581950323197,-6.9226481696314295,0.55158947468428898,-0.18314811866901329,-6.9226481696314295
52,-16.792473469458496,13.832654920870331,-7.1079407070628209,0.56307297054713412,-0.18529253743139174,-7.1079407070628209
53,-17.216993474712528,14.407213720037063,-7.2954518077020873,0.57455879916673303,-0.18751110063926668,-7.2954518077020873
54,-17.641180925919961,14.993264351808929,-7.4852522354473505,0.58605063177186567,-0.18980042774526323,-7.4852522354473505
55,-18.064883667721858,15.590815322277669,-7.6774137534435436,0.5975509704687394,-0.19216151799619266,-7.6774137534435436
56,-18.487946280245168,16.199877562165511,-7.872009098706199,0.60906223988784158,-0.19459534526265537,-7.872009098706199
57,-18.91020970705528,16.820464338691295,-8.0691119908562055,0.62058677652578187,-0.19710289215000565,-8.0691119908562055
58,-19.331510896979459,17.452591170911543,-8.2687971132939015,0.63212683222024824,-0.19968512243769659,-8.2687971132939015
59,-19.751682459026185,18.096276679668122,-8.4711354928702587,0.64368550875658093,-0.20233837957635722,-8.4711354928702587
60,-20.170552330390027,18.751541247834922,-8.6761994120905559,0.6552645681667989,-0.2050639192202974,-8.6761994120905559
61,-20.587943456068679,19.41840695877049,-8.8840623692305893,0.66686571093556712,-0.20786295714003342,-8.8840623692305893
62,-21.003673480309693,20.096897525168224,-9.0947990610033962,0.67849056639773231,-0.21073669177280721,-9.0947990610033962
63,-21.417554449258557,20.787039299824876,-9.3084803351569825,0.69014177465665183,-0.21368127415358618,-9.3084803351569825
64,-21.829392525258257,21.488859794273505,-9.5251785091914734,0.70182049444862848,-0.21669817403449071,-9.5251785091914734
65,-22.238987712648083,22.202387626935934,-9.7449673431887458,0.71352783266242936,-0.21978883399727264,-9.7449673431887458
66,-22.64613359540478,22.927653674802084,-9.967916649030828,0.7252660478661489,-0.22294930584208195,-9.967916649030828
67,-23.050617087332753,23.664689477940065,-10.194097937086701,0.73703580313798212,-0.22618128805587265,-10.194097937086701
68,-23.452218195563237,24.413528490896496,-10.423578827893296,0.74883901295642985,-0.22948089080659595,-10.423578827893296
69,-23.850709798566534,25.174205748876524,-10.656423248250514,0.7606772579800285,-0.23284442035721753,-10.656423248250514
70,-24.245857440026068,25.946756197388545,-10.892697330846691,0.77255044851202059,-0.23627408259617655,-10.892697330846691
71,-24.637419139982644,26.731214719128104,-11.132469281977352,0.78445852173955855,-0.23977195113066085,-11.132469281977352
72,-25.025145225782055,27.527619041137765,-11.375797447921729,0.79640432200966194,-0.24332816594437728,-11.375797447921729
73,-25.408778184928014,28.336006124681383,-11.622742838465834,0.80838708354361721,-0.24694539054410575,-11.622742838465834
74,-25.788052543374786,29.156413778714853,-11.87336282834374,0.82040765403347182,-0.25061998987790551,-11.87336282834374
75,-26.162694771957941,29.988880390492394,-12.127711338175352,0.83246661177754233,-0.25434850983161233,-12.127711338175352
76,-26.53242322580769,30.833443066388902,-12.385845242406917,0.84456267589650835,-0.25813390423156513,-12.385845242406917
77,-26.896948121759202,31.690141077934339,-12.64781140068488,0.85669801154543546,-0.26196615827796288,-12.64781140068488
78,-27.255971558674297,32.559013578110658,-12.913653621953413,0.86887250017631712,-0.26584222126853313,-12.913653621953413
79,-27.609187588680676,33.440097659997221,-13.183419327100031,0.88108408188656062,-0.26976570514661802,-13.183419327100031
80,-27.956282346087839,34.333432158944213,-13.457145928175548,0.89333449894698935,-0.27372660107551716,-13.457145928175548
81,-28.296934244431846,35.239055264894219,-13.734868076108208,0.90562310595000572,-0.27772214793265981,-13.734868076108208
82,-28.630814251438309,36.157004402207804,-14.016617693984575,0.91794913731358274,-0.28174961787636604,-14.016617693984575
83,-28.957586256157455,37.087318069357153,-14.302417095896812,0.93031366714935226,-0.28579940191223696,-14.302417095896812
84,-29.276907542087194,38.030033390776197,-14.592286426691928,0.94271532141904446,-0.28986933079511606,-14.592286426691928
85,-29.588429385126346,38.985186070083806,-14.886243642242841,0.9551526793076105,-0.29395721555091309,-14.886243642242841
86,-29.891797796676368,39.952812449410189,-15.184297292030205,0.96762637932638573,-0.29805364978736526,-15.184297292030205
87,-30.186654437553734,40.932946965524387,-15.486454205104982,0.98013451611419633,-0.3021569130747766,-15.486454205104982
